지역,측정소명,측정소코드,측정일시,SO2,CO,O3,NO2,PM10,주소
부산 사하구,장림동,221202,2013070101,0.004,0.200,0.029,0.030,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013070102,0.004,0.300,0.022,0.029,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013070103,0.004,0.200,0.026,0.029,48,부산 사하구 장림동
부산 사하구,장림동,221202,2013070104,0.004,0.300,0.018,0.029,42,부산 사하구 장림동
부산 사하구,장림동,221202,2013070105,0.004,0.300,0.016,0.031,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013070106,0.004,0.200,0.022,0.032,49,부산 사하구 장림동
부산 사하구,장림동,221202,2013070107,0.004,0.300,0.021,0.031,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013070108,0.004,0.300,0.020,0.032,41,부산 사하구 장림동
부산 사하구,장림동,221202,2013070109,0.004,0.300,0.016,0.034,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013070110,0.004,0.300,0.019,0.036,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013070111,0.005,0.300,0.024,0.035,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013070112,0.005,0.300,0.023,0.036,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013070113,0.005,0.300,0.028,0.037,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013070114,0.005,0.200,0.034,0.034,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013070115,0.004,0.200,0.033,0.032,33,부산 사하구 장림동
부산 사하구,장림동,221202,2013070116,0.004,0.200,0.031,0.031,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013070117,0.004,0.200,0.031,0.031,36,부산 사하구 장림동
부산 사하구,장림동,221202,2013070118,0.004,0.200,0.027,0.031,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013070119,0.004,0.200,0.022,0.031,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013070120,0.004,0.200,0.024,0.030,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013070121,0.004,0.200,0.022,0.031,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013070122,0.004,0.200,0.022,0.030,44,부산 사하구 장림동
부산 사하구,장림동,221202,2013070123,0.004,0.200,0.021,0.030,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013070124,0.004,0.200,0.022,0.030,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013070201,0.004,0.200,0.019,0.029,39,부산 사하구 장림동
부산 사하구,장림동,221202,2013070202,0.004,0.200,0.016,0.029,52,부산 사하구 장림동
부산 사하구,장림동,221202,2013070203,0.004,0.200,0.019,0.027,51,부산 사하구 장림동
부산 사하구,장림동,221202,2013070204,0.004,0.200,0.018,0.027,44,부산 사하구 장림동
부산 사하구,장림동,221202,2013070205,0.004,0.200,0.018,0.028,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013070206,0.004,0.200,0.017,0.028,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013070207,0.004,0.200,0.011,0.027,51,부산 사하구 장림동
부산 사하구,장림동,221202,2013070208,0.004,0.200,0.009,0.028,54,부산 사하구 장림동
부산 사하구,장림동,221202,2013070209,0.004,0.200,0.011,0.027,51,부산 사하구 장림동
부산 사하구,장림동,221202,2013070210,0.004,0.200,0.013,0.028,52,부산 사하구 장림동
부산 사하구,장림동,221202,2013070211,0.004,0.200,0.013,0.026,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013070212,0.004,0.200,0.014,0.027,36,부산 사하구 장림동
부산 사하구,장림동,221202,2013070213,0.004,0.200,0.016,0.026,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013070214,0.004,0.200,0.014,0.024,48,부산 사하구 장림동
부산 사하구,장림동,221202,2013070215,0.004,0.200,0.013,0.025,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013070216,0.004,0.200,0.012,0.024,48,부산 사하구 장림동
부산 사하구,장림동,221202,2013070217,0.004,0.200,0.012,0.024,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013070218,0.004,0.200,0.012,0.025,50,부산 사하구 장림동
부산 사하구,장림동,221202,2013070219,0.004,0.200,0.014,0.026,58,부산 사하구 장림동
부산 사하구,장림동,221202,2013070220,0.004,0.200,0.012,0.024,61,부산 사하구 장림동
부산 사하구,장림동,221202,2013070221,0.004,0.200,0.014,0.024,59,부산 사하구 장림동
부산 사하구,장림동,221202,2013070222,0.004,0.200,0.015,0.024,60,부산 사하구 장림동
부산 사하구,장림동,221202,2013070223,0.004,0.200,0.016,0.024,57,부산 사하구 장림동
부산 사하구,장림동,221202,2013070224,0.004,0.100,0.019,0.023,58,부산 사하구 장림동
