지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2014040101,0.003,0.600,0.018,0.013,54,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040102,0.003,0.600,0.018,0.011,46,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040103,0.003,0.500,0.017,0.010,52,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040104,0.003,0.500,0.017,0.008,46,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040105,0.003,0.400,0.018,0.008,46,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040106,0.002,0.400,0.017,0.007,39,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040107,0.003,0.400,0.019,0.008,41,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040108,0.002,0.400,0.017,0.010,36,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040109,0.003,0.400,0.019,0.012,43,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040110,0.003,0.400,0.031,0.009,48,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040111,0.003,0.400,0.042,0.009,52,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040112,0.004,0.400,0.057,0.008,62,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040113,0.004,0.400,0.069,0.006,62,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040114,0.005,0.400,0.069,0.009,60,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040115,0.010,0.400,0.063,0.014,57,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040116,0.014,0.400,0.058,0.019,51,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040117,0.014,0.400,0.058,0.018,47,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040118,0.018,1.000,0.045,0.024,52,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040119,0.010,0.600,0.053,0.017,89,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014040120,0.008,0.400,0.059,0.013,54,,경남 하동군 하동읍 읍내리
