지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2017040101,0.003,0.200,0.033,0.022,41,29,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040102,0.003,0.300,0.030,0.024,38,30,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040103,0.003,0.200,0.037,0.017,42,30,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040104,0.003,0.200,0.036,0.015,43,30,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040105,0.003,0.200,0.036,0.015,40,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040106,0.003,0.200,0.029,0.020,39,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040107,0.003,0.300,0.015,0.036,34,29,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040108,0.003,0.200,0.016,0.037,42,32,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040109,0.003,0.300,0.013,0.040,39,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040110,0.003,0.200,0.020,0.035,41,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040111,0.004,0.200,0.029,0.029,34,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040112,0.006,0.200,0.034,0.026,31,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040113,0.004,0.200,0.041,0.019,28,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040114,0.003,0.200,0.049,0.019,,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040115,0.003,0.200,0.051,0.017,36,32,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040116,0.004,0.300,0.043,0.024,28,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040117,0.004,0.300,0.043,0.024,35,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040118,0.005,0.200,0.038,0.025,30,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040119,0.003,0.300,0.038,0.024,24,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040120,0.003,0.300,0.031,0.029,12,7,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040121,0.003,0.300,0.034,0.026,23,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040122,0.003,0.300,0.014,0.039,24,20,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040123,0.003,0.400,0.009,0.043,49,33,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040124,0.003,0.300,0.011,0.037,39,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040201,0.003,0.300,0.023,0.024,46,35,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040202,0.003,0.300,0.024,0.020,41,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040203,0.003,0.300,0.029,0.017,47,45,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040204,0.003,0.300,0.026,0.015,42,41,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040205,0.003,0.200,0.026,0.015,55,51,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040206,0.003,0.200,0.026,0.015,55,,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040207,0.003,0.300,0.018,0.021,46,,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040208,0.003,0.300,0.020,0.022,46,40,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040209,0.003,0.300,0.028,0.017,45,37,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040210,0.003,0.200,0.037,0.014,38,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040211,0.003,0.200,0.047,0.011,31,27,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040212,0.003,0.200,0.049,0.011,34,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040213,0.003,0.200,0.054,0.009,31,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040214,0.003,0.100,0.055,0.009,27,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040215,0.004,0.200,0.056,0.010,26,20,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040216,0.004,0.200,0.056,0.010,26,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040217,0.005,0.200,0.054,0.013,29,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040218,0.004,0.200,0.054,0.012,24,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040219,0.005,0.200,0.050,0.015,23,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040220,0.005,0.200,0.046,0.017,23,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040221,0.004,0.200,0.040,0.023,23,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040222,0.004,0.200,0.041,0.023,24,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040223,0.005,0.300,0.025,0.037,31,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040224,0.008,0.300,0.012,0.046,47,30,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040301,0.007,0.300,0.008,0.046,51,37,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040302,0.005,0.200,0.017,0.036,45,37,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040303,0.006,0.200,0.010,0.039,41,32,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040304,0.006,0.300,0.017,0.034,46,35,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040305,0.004,0.300,0.010,0.037,49,46,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040306,0.004,0.400,0.010,0.037,50,40,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040307,0.004,0.300,0.014,0.044,57,48,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040308,0.005,0.300,0.018,0.046,59,42,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017040309,0.005,0.300,0.028,0.044,71,44,부산 사하구 장림로 161번길 2
