지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2018100101,0.005,0.100,0.037,0.008,20,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100102,0.005,0.100,0.038,0.005,18,9,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100103,0.005,0.100,0.034,0.008,16,6,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100104,0.005,0.100,0.032,0.009,15,10,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100105,0.006,0.200,0.028,0.013,13,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100106,0.005,0.200,0.028,0.012,14,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100107,0.005,0.200,0.020,0.021,17,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100108,0.006,0.300,0.020,0.021,26,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100109,0.006,0.200,0.026,0.016,21,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100110,0.006,0.200,0.028,0.017,24,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100111,0.005,0.200,0.035,0.014,35,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100112,0.005,0.200,0.035,0.016,38,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100113,0.004,0.200,0.039,0.012,38,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100114,0.005,0.200,0.039,0.012,32,12,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018100115,,,,,28,14,부산 사하구 장림로 161번길 2
