time,PV,PM10,PM25,SO2,CO,O3,NO2,기온,강수량,습도,풍속,풍향,증기압,이슬점온도,현지기압,해면기압,일조,일사,지면온도
2017-01-01 01:00:00,0,87,64,0.006,2.300,0.002,0.038,2.9,,83,2.5,180,6.2,.2,1020.3,1029.3,,,-.2
2017-01-01 02:00:00,0,83,66,0.005,2.200,0.002,0.034,2.3,,85,2.2,160,6.1,0,1020.2,1029.2,,,-.4
2017-01-01 03:00:00,0,79,64,0.005,2.200,0.002,0.034,1.9,,86,2.1,180,6,-.2,1020.4,1029.5,,,-.5
2017-01-01 04:00:00,0,78,61,0.005,2.400,0.001,0.034,1.6,,87,2.2,160,6,-.3,1020.2,1029.3,,,-.8
2017-01-01 05:00:00,0,79,60,0.005,1.900,0.001,0.027,1.6,,88,2.4,160,6.1,-.1,1019.9,1029,,,-.5
2017-01-01 06:00:00,0,68,53,0.005,1.900,0.001,0.028,1.4,,90,2.5,160,6.1,0,1019.7,1028.8,,,-1
2017-01-01 07:00:00,0,72,57,0.005,2.000,0.001,0.030,1.5,,90,1.8,160,6.1,0,1020.3,1029.4,,,-.7
2017-01-01 08:00:00,0,69,58,0.005,1.900,0.001,0.028,1.6,,90,2,160,6.2,.1,1020.5,1029.6,0,0,-.7
2017-01-01 09:00:00,12.576,69,53,0.005,2.000,0.002,0.030,2.1,,89,2,160,6.3,.4,1021.1,1030.1,0,.1,-.3
2017-01-01 10:00:00,72.096,75,57,0.005,1.600,0.002,0.026,3.2,,84,1.3,160,6.4,.7,1021.6,1030.6,0,.35,-.1
2017-01-01 11:00:00,240.096,75,56,0.006,1.600,0.003,0.027,5.3,,77,1.9,160,6.8,1.5,1021.5,1030.5,1,.76,-.1
2017-01-01 12:00:00,271.872,73,61,0.007,1.300,0.005,0.024,6.8,,72,2.8,180,7.1,2,1020.3,1029.2,.7,.89,1
2017-01-01 13:00:00,394.656,69,55,0.008,1.100,0.012,0.022,7.3,,70,3,180,7.1,2.1,1019.6,1028.5,.5,.84,3
2017-01-01 14:00:00,221.184,73,57,0.009,1.000,0.025,0.017,8.1,,70,2.5,230,7.5,2.9,1018.9,1027.7,.5,.78,4.2
2017-01-01 15:00:00,335.232,73,53,0.009,1.000,0.028,0.016,8.1,,74,2.4,230,8,3.7,1018.5,1027.3,.6,.74,3.3
2017-01-01 16:00:00,102.432,65,44,0.008,1.000,0.029,0.016,7.9,,72,2.2,200,7.6,3.1,1018.3,1027.1,.4,.36,2.3
2017-01-01 17:00:00,20.544,63,41,0.008,1.000,0.027,0.017,7.6,,72,1.9,200,7.5,2.8,1017.9,1026.7,0,.1,1.5
2017-01-01 18:00:00,0,57,42,0.007,1.000,0.015,0.025,7.3,,72,1.8,180,7.3,2.5,1017.3,1026.1,0,0,1.2
2017-01-01 19:00:00,0,68,47,0.007,1.200,0.008,0.031,7.2,,70,1.5,200,7.1,2,1017.2,1026,,,.9
2017-01-01 20:00:00,0,64,47,0.007,1.800,0.002,0.040,7,,70,1.6,180,7,1.8,1016.8,1025.6,,,.8
2017-01-01 21:00:00,0,73,54,0.006,1.700,0.002,0.038,6.8,,70,2.5,200,6.9,1.7,1016.5,1025.3,,,1.1
2017-01-01 22:00:00,0,75,59,0.006,1.800,0.002,0.039,6.8,,73,3.3,180,7.2,2.2,1016.1,1024.9,,,1.7
2017-01-01 23:00:00,0,77,62,0.006,1.600,0.002,0.037,6.5,,76,3.2,180,7.3,2.5,1015.7,1024.6,,,2
2017-01-02 00:00:00,0,81,59,0.006,1.400,0.002,0.033,6.3,,76,3.3,180,7.2,2.3,1015.7,1024.6,,,2.2
2017-01-02 01:00:00,0,84,64,0.006,1.300,0.001,0.030,6.2,,78,3.6,200,7.4,2.6,1015.1,1024,,,2.5
2017-01-02 02:00:00,0,83,60,0.005,1.200,0.001,0.029,6.2,,80,3.9,180,7.5,2.9,1014.5,1023.4,,,2.7
2017-01-02 03:00:00,0,89,68,0.005,1.200,0.001,0.028,5.9,,80,2.7,200,7.4,2.7,1015,1023.9,,,2.7
2017-01-02 04:00:00,0,84,67,0.005,1.200,0.002,0.028,6.1,,82,3.7,180,7.7,3.2,1014.3,1023.2,,,3
2017-01-02 05:00:00,0,78,64,0.005,1.100,0.002,0.026,6,,85,3.2,180,7.9,3.6,1013.6,1022.5,,,3.2
2017-01-02 06:00:00,0,81,59,0.005,1.100,0.002,0.027,5.7,.2,89,3.2,200,8.1,4,1013.3,1022.2,,,3.5
2017-01-02 07:00:00,0,77,56,0.005,1.100,0.001,0.029,5.4,,91,3.1,200,8.1,4,1013.2,1022.1,,,3.4
2017-01-02 08:00:00,0,68,52,0.005,1.100,0.001,0.031,5.5,,92,3.6,200,8.2,4.2,1013.2,1022.1,0,0,3.3
2017-01-02 09:00:00,1.632,77,54,0.005,1.200,0.001,0.031,5.6,0,91,2.5,200,8.2,4.2,1013.4,1022.3,0,.09,3.9
2017-01-02 10:00:00,68.16,80,53,0.005,1.200,0.002,0.030,6.2,,90,1.9,230,8.5,4.6,1013.9,1022.7,0,.24,5.3
2017-01-02 11:00:00,79.008,83,64,0.006,1.000,0.004,0.028,6.6,,89,3.1,340,8.7,4.9,1014.2,1023,.2,.44,6.6
2017-01-02 12:00:00,174.336,77,54,0.006,1.200,0.020,0.024,7.7,,69,3.1,290,7.2,2.3,1013.4,1022.2,.8,1.01,8.4
2017-01-02 13:00:00,387.744,88,72,0.009,1.300,0.033,0.020,8.5,,67,4,270,7.4,2.7,1013.1,1021.8,1,1.19,9.5
2017-01-02 14:00:00,285.984,112,89,0.008,1.300,0.037,0.020,8.3,,73,3,340,8,3.7,1012.4,1021.1,.8,.81,8.3
2017-01-02 15:00:00,197.952,120,90,0.008,1.400,0.037,0.021,7.8,,77,3.4,320,8.1,4,1012.7,1021.5,.2,.43,7.2
2017-01-02 16:00:00,115.776,137,102,0.007,1.400,0.037,0.021,7.6,,79,3.8,290,8.2,4.1,1013,1021.8,0,.48,6.7
2017-01-02 17:00:00,31.2,143,109,0.007,1.500,0.026,0.026,7.1,,83,2.4,290,8.4,4.4,1013.1,1021.9,0,.15,5.1
2017-01-02 18:00:00,0,138,111,0.007,1.500,0.017,0.031,6.3,,80,3.1,320,7.6,3,1013.5,1022.3,0,.01,3.7
2017-01-02 19:00:00,0,149,116,0.007,1.500,0.014,0.033,5.3,,85,4,320,7.5,2.9,1013.9,1022.8,,,2.7
2017-01-02 20:00:00,0,152,114,0.007,1.600,0.011,0.033,5.1,,82,3.6,290,7.2,2.2,1014.1,1023,,,2.2
2017-01-02 21:00:00,0,150,122,0.006,1.600,0.008,0.032,4.3,,86,4.7,340,7.1,2.1,1014.2,1023.1,,,1.8
2017-01-02 22:00:00,0,165,130,0.006,1.600,0.013,0.028,3.4,,88,4.6,340,6.8,1.5,1014.5,1023.4,,,1.2
2017-01-02 23:00:00,0,162,124,0.006,1.600,0.014,0.026,3,,91,4.2,340,6.9,1.6,1014.9,1023.9,,,.7
2017-01-03 00:00:00,0,151,117,0.006,1.500,0.015,0.025,2.4,,91,3,340,6.6,1,1015.4,1024.4,,,.2
2017-01-03 01:00:00,0,145,113,0.006,1.500,0.019,0.022,1.9,,88,3.6,360,6.2,.1,1015.5,1024.5,,,-.2
2017-01-03 02:00:00,0,144,106,0.007,1.400,0.028,0.015,1.5,,87,3.1,340,5.9,-.4,1015.7,1024.7,,,.1
2017-01-03 03:00:00,0,124,92,0.007,1.400,0.026,0.016,1,,87,1.8,340,5.7,-.9,1015.9,1024.9,,,.1
2017-01-03 04:00:00,0,112,84,0.007,1.400,0.016,0.022,.9,,80,2.1,360,5.2,-2.1,1016.4,1025.5,,,.1
2017-01-03 05:00:00,0,107,86,0.007,1.500,0.007,0.026,.7,,79,1.7,340,5.1,-2.5,1016.2,1025.3,,,0
2017-01-03 06:00:00,0,100,76,0.006,1.800,0.002,0.030,.2,,66,.7,290,4.1,-5.4,1016,1025.1,,,0
2017-01-03 07:00:00,0,101,72,0.007,1.900,0.002,0.035,.1,,68,.5,50,4.2,-5.1,1016.1,1025.2,,,0
2017-01-03 08:00:00,0,94,70,0.007,2.200,0.002,0.043,-.2,,78,1.6,200,4.7,-3.5,1016.6,1025.7,0,0,-.1
2017-01-03 09:00:00,46.272,145,67,0.008,2.300,0.002,0.048,1.3,,63,1.7,200,4.2,-4.9,1016.8,1025.8,.6,.19,-.1
2017-01-03 10:00:00,278.784,,83,0.009,2.000,0.003,0.040,3.5,,63,1.1,200,5,-2.8,1016.8,1025.8,1,.63,0
2017-01-03 11:00:00,560.736,,95,0.010,1.700,0.005,0.036,5,,58,1.7,200,5.1,-2.5,1016.6,1025.5,1,1.06,0
2017-01-03 12:00:00,645.12,,,0.010,1.400,0.009,0.034,6,,60,2.6,230,5.6,-1.1,1016,1024.9,1,1.31,.9
2017-01-03 13:00:00,744.288,,,0.009,1.100,0.022,0.023,6.2,,65,3,250,6.1,0,1015.5,1024.4,1,1.43,5.7
2017-01-03 14:00:00,640.8,,,0.007,1.000,0.030,0.014,7,,55,2.8,250,5.5,-1.4,1015.1,1023.9,1,1.38,7.4
2017-01-03 15:00:00,685.248,,,0.006,0.800,0.033,0.012,6.4,,56,3.8,290,5.4,-1.7,1015,1023.8,1,1.17,6.4
2017-01-03 16:00:00,439.872,,,,,,,6.2,,54,3.2,290,5.1,-2.4,1014.7,1023.6,1,.79,4.6
2017-01-03 17:00:00,122.208,,,0.005,0.800,0.030,0.014,5.2,,56,2.6,270,5,-2.8,1014.4,1023.3,1,.33,2.8
2017-01-03 18:00:00,3.36,22,,0.005,0.800,0.015,0.023,4.2,,65,1.5,230,5.4,-1.8,1014.1,1023,.3,.02,1.2
2017-01-03 19:00:00,0,26,16,0.005,0.900,0.006,0.029,3.7,,64,1.5,250,5.1,-2.4,1014.6,1023.5,,,.3
